competition_section,match_number,match_date,date_raw,tournament,round,stadium,home_team,away_team,home_score,away_score,score_note,home_scorers,away_scorers
primera_division,106,1973-11-11,11 de noviembre de 1973,Nacional 1973,09,Estadio José Amalfitani; (Vélez Sarsfield),River Plate,Boca Juniors,1,0,,Morete (81),
primera_division,107,1974-02-21,21 de febrero de 1974,Metropolitano 1974,01,La Bombonera,Boca Juniors,River Plate,5,2,,"García Cambón (2, 37, 66, 71), Ferrero (p. 46)","Ghiso (16), Wolff (p. 61)"
primera_division,108,1974-03-31,31 de marzo de 1974,Metropolitano 1974,10,El Monumental,River Plate,Boca Juniors,3,1,,"Morete (3, 30, p. 68)",Potente (26)
primera_division,109,1974-08-30,30 de agosto de 1974,Nacional 1974,06,La Bombonera,Boca Juniors,River Plate,1,0,,García Cambón (32),
primera_division,110,1974-11-03,3 de noviembre de 1974,Nacional 1974,15,El Monumental,River Plate,Boca Juniors,1,1,,Mastrángelo (76),Potente (72)
primera_division,111,1975-04-17,17 de abril de 1975,Metropolitano 1975,15,La Bombonera,Boca Juniors,River Plate,1,2,,Trobbiani (p. 43),"Morete (6), Alonso (23)"
primera_division,112,1975-07-27,27 de julio de 1975,Metropolitano 1975,34,El Monumental,River Plate,Boca Juniors,0,1,,,Potente (70)
primera_division,113,1975-09-21,21 de septiembre de 1975,Nacional 1975,01,La Bombonera,Boca Juniors,River Plate,1,2,,H. Sánchez (87),"P. González (29), Luque (85)"
primera_division,114,1975-10-26,26 de octubre de 1975,Nacional 1975,09,El Monumental,River Plate,Boca Juniors,1,2,,Más (77),"H. Sánchez (26), Alves (69)"
primera_division,115,1976-02-18,18 de febrero de 1976,Metropolitano 1976,02,El Monumental,River Plate,Boca Juniors,0,0,,,
primera_division,116,1976-04-18,18 de abril de 1976,Metropolitano 1976,13,La Bombonera,Boca Juniors,River Plate,0,1,,,Perfumo (58)
primera_division,117,1976-07-25,25 de julio de 1976,Metropolitano 1976,08,Estadio Tomás Adolfo Ducó; (Huracán),Boca Juniors,River Plate,1,1,,Felman (p. 78),Coudannes (53)
primera_division,118,1976-09-26,26 de septiembre de 1976,Nacional 1976,03,La Bombonera,Boca Juniors,River Plate,1,1,,Mastrángelo (20),Passarella (p. 35)
primera_division,119,1976-11-14,14 de noviembre de 1976,Nacional 1976,11,El Monumental,River Plate,Boca Juniors,0,2,,,"Mastrángelo (46), Felman (75)"
primera_division,120,1976-12-22,22 de diciembre de 1976,Nacional 1976,Final,Estadio Presidente Perón; (Racing Club),Boca Juniors,River Plate,1,0,,Suñé (72),
primera_division,121,1977-08-14,14 de agosto de 1977,Metropolitano 1977,22,Estadio Tomás Adolfo Ducó; (Huracán),River Plate,Boca Juniors,1,1,,P. González (32),Veglio (22)
primera_division,122,1977-11-09,9 de noviembre de 1977,Metropolitano 1977,45,La Bombonera,Boca Juniors,River Plate,1,2,,Pernía (3),"Passarella (p. 44), P. González (89)"
primera_division,123,1978-07-12,12 de julio de 1978,Metropolitano 1978,17,La Bombonera,Boca Juniors,River Plate,1,0,,Husillos (12),
primera_division,124,1978-10-15,15 de octubre de 1978,Metropolitano 1978,38,El Monumental,River Plate,Boca Juniors,1,0,,O. Labruna (22),
primera_division,125,1979-09-23,23 de septiembre de 1979,Nacional 1979,04,El Monumental,River Plate,Boca Juniors,1,1,,Passarella (p. 44),Randazzo (13)
primera_division,126,1979-11-11,11 de noviembre de 1979,Nacional 1979,11,La Bombonera,Boca Juniors,River Plate,1,1,,Husillos (76),López (10)
primera_division,127,1980-03-02,2 de marzo de 1980,Metropolitano 1980,04,La Bombonera,Boca Juniors,River Plate,2,5,,"Randazzo (24), Perotti (83)","R. Díaz (11, 77), Carrasco (46, 76), Ortiz (55)"
primera_division,128,1980-06-15,15 de junio de 1980,Metropolitano 1980,23,El Monumental,River Plate,Boca Juniors,2,1,,"Passarella (65), Luque (73)",Salinas (46)
primera_division,129,1980-09-28,28 de septiembre de 1980,Nacional 1980,03,El Monumental,River Plate,Boca Juniors,2,2,,"R. Díaz (8), Ortiz (54)","Outes (23), Pernía (79)"
primera_division,130,1980-11-06,6 de noviembre de 1980,Nacional 1980,10,La Bombonera,Boca Juniors,River Plate,1,0,,Perotti (86),
primera_division,131,1981-04-10,10 de abril de 1981,Metropolitano 1981,10,La Bombonera,Boca Juniors,River Plate,3,0,,"Brindisi (55, 60), Maradona (67)",
